customer_id,full_name,gender,birth_date,phone,email,city,region,loyalty_tier,registration_date
CUS01518,Mohamed Mansour,Male,1981-05-01,01158132110,mohamed.mansour52@hotmail.com,Suez,Canal Zone,Bronze,2020-12-19
CUS02370,Maged Lotfy,Male,2003-04-10,01281872177,,Zagazig,Nile Delta,Bronze,2021-05-13
CUS01962,Ahmed Hafez,Male,1971-05-03,01141856715,ahmed.hafez18@outlook.com,Giza,Greater Cairo,Gold,2023-09-26
CUS00344,Hoda Fathy,Female,2000-05-19,01195645083,hoda.fathy26@outlook.com,Giza,Greater Cairo,Bronze,2021-07-07
CUS02664,Hussein Lotfy,MALE,1998-12-26,01149528740,hussein.lotfy80@gmail.com,Tanta,Nile Delta,Bronze,2022-10-05
CUS01174,Nour Mostafa,Female,1984-06-10, 01114481563,nour.mostafa72@hotmail.com,Cairo,Greater Cairo,Silver,2021-10-07
CUS02677,Hazem Hamdy,MALE,1974-09-25, 01084698064,hazem.hamdy68@outlook.com,Giza,Greater Cairo,Bronze,2020-01-28
CUS01028,Fatima Ramadan,Female,1975-10-20, 01019232076,fatima.ramadan42@outlook.com,Aswan,Upper Egypt,Bronze,2023-04-03
CUS02084,Ramy Farouk,male,17/08/1989,01069113227,ramy.farouk8@hotmail.com,Suez,Canal Zone,Silver,2021-09-09
CUS01445,Sherif Zaki,Male,1992-01-06,01252440768,sherif.zaki7@hotmail.com,Luxor,Upper Egypt,Silver,2020-10-25
CUS00933,Bassem Farouk,Male,1990-12-18, 01229438263,bassem.farouk40@gmail.com,Ismailia,Canal Zone,Silver,2020-12-26
CUS00179,Hossam Fathy,male,1981-10-08,01248988647,hossam.fathy16@yahoo.com,Port Said,Canal Zone,Bronze,2023-07-02
CUS01594,Hoda Badawi,Female,1985-11-14,01271886181,hoda.badawi40@yahoo.com,Cairo,Greater Cairo,Gold,2022-05-20
CUS01948,Ahmed Mostafa,male,1980-12-01, 01070428122,ahmed.mostafa83@hotmail.com,Cairo,Greater Cairo,Platinum,2022-07-20
CUS01663,Yasmin Khalil,Female,18/11/1986,01078622351,yasmin.khalil15@gmail.com,Suez,Canal Zone,Silver,2023-11-23
CUS02432,Hussein Younis,Male,1994-12-08,01224467198,hussein.younis30@yahoo.com,Aswan,Upper Egypt,Bronze,2020-03-07
CUS02863,Ramy Ramadan,Male,1989-05-22,01019329244,ramy.ramadan58@yahoo.com,Port Said,Canal Zone,Platinum,2023-04-19
CUS02343,Doha Shaaban,Female,1998-05-21,01093235590 ,doha.shaaban46@gmail.com,Cairo,Greater Cairo,Bronze,2022-08-19
CUS01498,Tarek Ragab,Male,1974-02-20,01290242618,tarek.ragab11@gmail.com,Alexandria,Alexandria,Silver,2020-11-11
CUS02967,Ibrahim Bakr,Male,1980-03-20,01221940949 ,ibrahim.bakr8@outlook.com,Zagazig,Nile Delta,Platinum,2021-10-17
CUS02414,Salma Zaki,FEMALE,1977-05-07,01095240437,salma.zaki23@hotmail.com,Cairo,Greater Cairo,Bronze,2023-09-08
CUS02808,Ramy Ali,Male,1995-10-13,01225235645,ramy.ali33@hotmail.com,Cairo,Greater Cairo,Bronze,2022-03-07
CUS01284,Hany Khalil,Male,1997-01-24,01258398175,hany.khalil59@outlook.com,Cairo,Greater Cairo,Bronze,2023-05-17
CUS02869,Engy Attia,Female,20/10/1991, 01027978174,engy.attia68@yahoo.com,Giza,Greater Cairo,Bronze,2020-01-07
CUS00890,Tarek Lotfy,Male,1989-03-07,01044810342,,Cairo,Greater Cairo,Bronze,2023-01-14
CUS01460,Nour Bakr,Female,1980-03-04,  01126675052  ,nour.bakr54@hotmail.com,Mansoura,Nile Delta,Silver,2020-09-20
CUS00652,Ramy Mansour,MALE,1997-05-16, 01034772080,ramy.mansour11@hotmail.com,Alexandria,Alexandria,Bronze,2023-02-17
CUS01437,Yasmin Abdallah,Female,1996-08-08,01223416165,yasmin.abdallah68@gmail.com,Giza,Greater Cairo,Gold,2022-09-12
CUS00555,Omar Ahmed,Male,1978-09-26,01167096991,,Luxor,Upper Egypt,Bronze,2023-07-25
CUS02264,Hussein Hassan,male,1977-09-12,01216614286,hussein.hassan95@hotmail.com,Giza,Greater Cairo,Silver,2022-01-24
CUS00440,Ahmed Zaki,male,1982-09-07, 01214344197,,Cairo,Greater Cairo,Bronze,2023-01-02
CUS02568,Rana Ismail,female,1994-01-10, 01046060709,rana.ismail64@gmail.com,Giza,Greater Cairo,Gold,2021-02-16
